cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
5280343,Quercetin,"quercetin|117-39-5|Sophoretin|Meletin|Xanthaurine|Quercetine|Quercetol|Quercitin|Quertine|3,3',4',5,7-Pentahydroxyflavone|2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one|Flavin meletin|Cyanidelonon 1522|3,5,7,3',4'-Pentahydroxyflavone|T-Gelb bzw. grun 1|C.I. Natural Yellow 10|Quercetin content|Kvercetin|Quertin|C.I. Natural red 1|Kvercetin [Czech]|2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one|Natural Yellow 10|C.I. 75670|CI Natural Yellow 10|4H-1-Benzopyran-4-one, 2-(3,4-dihydroxy",302.230,C15H10O7,127.000,488.000,1.500,22,5,7,1,REFJWTPEDVJJIY-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",Quercetin,262142,17,"5,7,9,11,15,17,19,21,23,25,27,29,31,33,35,37,39,45,47,49,51,53,55,57,59,61,63,67,69,71,73,75,77,79,81,99,101,103,105,107,109,115,119,121,123,125,129,131,133,135,137,139,141,143,145,155,157,161,165,167,175,179,192,200,210,220,222,248,256,270,272,328,330,351,357,365,366,367,382,383,384,386,393,395,396,410,411,422,429,436,444,445,446,447,448,450,451,505,506,513,514,515,526,530,547,584,585,587,588,589,590,591,592,593,594,595,596,597,603,605,607,662,694,732,747,875,879,880,881,883,884,885,886,887,889,891,892,893",20040916,/s0716-97602010000400007|/s0716-97602011000300001|010.02/ijaai.139140|014178/aim.007|09.01/ijaai.2734|10. 3760/cma.j.issn.0253-3766.2012.06.004|10.1001/archinte.161.15.1919|10.1001/archinte.1954.00250060171011|10.1001/jama.279.18.1437|10.1002/(sici)1097-0215(19960503)66:3&lt;404::aid-ijc23&gt;3.0.co;2-9|10.1002/(sici)1097-0215(19970926)73:1&lt;75::aid-ijc13&gt;3.0.co;2-4|10.1002/(sici)1097-0215(19980831)77:5&lt;747::aid-ijc14&gt;3.0.co;2-z|10.1002/(sici)1097-0215(20000201)85:3&lt;438::aid-ijc22&gt;3.0.co;2-
5274585,Quercetin 3-O-glucuronide,"Miquelianin|Quercituron|quercetin 3-O-glucuronide|Querciturone|22688-79-5|UNII-RY36PD0CQ2|QUERCETIN GLUCURONIDE|Mikwelianin|quercetin-3-O-beta-D-glucuronopyranoside|RY36PD0CQ2|CHEMBL520546|CHEBI:66395|QUERCETIN-3-O-GLUCURONIDE|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl beta-D-glucopyranosiduronic acid|Quercetin-3-glucosiduronic acid|Quercetin-3-O-beta-D-glucuronide|quercetin-3-O-glucoronoside|SCHEMBL578422|MEGxp0_000321|Quercetein-3-O-beta-glucuronide|ACon1_000029|DTXSID70945358|cid_1200452",478.400,C21H18O13,224.000,830.000,NULL,34,8,13,4,DUBCCGAQYVUYEU-ZUGPOPFOSA-N,"(2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",NULL,34578,6,"338974,356646,380836,380837,380838,380839,464081,612411,736009,1070385,1070387",20051007,10.1002/jcb.25141|10.1002/mnfr.201200569|10.1002/pca.1076|10.1002/ptr.3423|10.1006/abbi.1997.0455|10.1007/s00253-008-1554-7|10.1007/s00774-009-0088-0|10.1007/s12272-010-1217-y|10.1016/j.abb.2014.05.030|10.1016/j.atherosclerosis.2007.07.040|10.1016/j.bbrc.2012.09.080|10.1016/j.bcp.2007.11.002|10.1016/j.bcp.2011.01.004|10.1016/j.biortech.2011.08.029|10.1016/j.bmc.2004.10.020|10.1016/j.bmc.2011.06.085|10.1016/j.bmcl.2010.01.113|10.1016/j.foodchem.2014.08.120|10.1016/j.jbiosc.2011.06.006|10.1016/j.jep.2015.02.0
5282159,Quercetin 3-O-malonylglucoside,Quercetin 3-O-malonylglucoside|96862-01-0|UNII-665V8QQD5I|Quercetin 3-o-beta-D-(6''-o-malonyl)-glucoside|Quercetin-3-O-(6''-malonylglucoside)|665V8QQD5I|MEGxp0_000167|Quercetin-3-(6''-malonyl)-Glucoside|Quercetin 3-O-(6-O-malonyl-beta-D-glucoside)|Quercetin 3-O-(6''-o-malonyl)-beta-D-glucoside|Quercetin 3-(6''-malonylglucoside)|AC1NQZKQ|Quercetin 3-O-(6''-malonylglucoside)|Quer-3-Glc-6''-Mal|Quercetin 3-O-(6-o-malonyl)-beta-D-glucoside|Isoquercitrin 6''-malonate|CHEBI:32080|DTXSID20914276|MolPort-001-740-34,550.400,C24H22O15,250.000,967.000,NULL,39,8,15,8,NBQPHANHNTWDML-UJKBSQBPSA-N,"3-[[(2R,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-3-oxopropanoic acid",NULL,4880,4,NULL,20050624,NULL
5381351,Quercetin 7-O-glucoside,"quercetin-7-o-beta-d-glucopyranoside|Quercetin 7-glucoside|Quercetin 7-O-glucoside|7-Glucosyl quercetin|NSC-115917|Glucosyl-7-quercetin|Quercetin 7-monoglucoside|SCHEMBL3644926|Quercetin 7-.beta.-D-glucoside|DTXSID30964161|NSC115917|Quercetin 7-.beta.-D-glucopyranoside|Quercetin 7-O-.beta.-D-glucopyranoside|Quercetin-7-O-.beta.-D-glucopyranoside|ST077130|4H-1-Benzopyran-4-one,4-dihydroxyphenyl)-7-(.beta.-D-glucopyranosyloxy)-3,5-dihydroxy-|2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-4-oxo-4H-1-benzopyran-7-yl hex",464.400,C21H20O12,207.000,758.000,NULL,33,8,12,4,BBFYUPYFXSSMNV-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",NULL,3856,5,NULL,20050326,10.1006/bbrc.1996.1759|10.1007/s13277-015-3682-x|10.1016/j.ejphar.2014.03.014|10.1016/j.phymed.2016.06.001|10.1039/c4fo00169a|10.1039/c4fo00695j
5320835,"Quercetin 3,4'-diglucoside","Quercetin 3,4'-diglucoside|29125-80-2|quercetin 3,4'-O-diglucoside|Quercetin-3,4'-O-di-beta-glucopyranoside|Quercetin-3,4'-diglucoside|Que 3,4'-di-Glc|SCHEMBL934200|CHEMBL1098352|CHEBI:131498|ZINC49781425|MCULE-5166055618|quercetin 3,4'-di-O-beta-D-glucoside|Quercetin 3,4'-di-O-beta-D-glucopyranoside|J-017401|Quercetin 3,4'-diglucoside, &gt;=85% (LC/MS-UV)|Q7271320|4-[3-(beta-D-glucopyranosyloxy)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-2-yl]-2-hydroxyphenyl beta-D-glucopyranoside",626.500,C27H30O17,286.000,1040.000,NULL,44,11,17,7,RPVIQWDFJPYNJM-DEFKTLOSSA-N,"5,7-dihydroxy-2-[3-hydroxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",NULL,34582,7,"481439,481440,481441,481444,481446,717567,717568,1062102,1062103,1062104,1062105,1062106,1062107,1062108,1062109,1062110,1062112,1062113,1062114",20060118,10.1002/biof.5520220142|10.1016/j.abb.2010.06.036|10.1016/j.bmc.2013.12.062|10.1016/j.bmcl.2012.10.043|10.1016/s0031-9422(03)00507-7|10.1021/jf073521f|10.1021/jm901846t
5284452,Quercetin dihydrate,"Quercetin dihydrate|6151-25-3|2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one dihydrate|Quercetine dihydrate|CCRIS 3304|UNII-53B03V78A6|Quercetin (dihydrate)|3,3',4',5,7-Pentahydroxyflavone dihydrate|MFCD00149487|Quercetin dihydrate (Sophoretin)|Flavone, 3,3',4',5,7-pentahydroxy-, dihydrate|53B03V78A6|NCGC00017056-01|AK101905|CAS-6151-25-3|DSSTox_CID_1219|2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one dihydrate|DSSTox_RID_76018|DSSTox_GSID_21219|C15H14O9|Quercetin, Dihydrate|Querce",338.270,C15H14O9,129.000,488.000,NULL,24,7,9,1,GMGIWEZSKCNYSW-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one;dihydrate",NULL,112402,9,"357,372,377,410,411,444,445,446,447,448,450,451,526,530,584,585,587,588,589,590,591,592,593,594,595,596,597,603,605,607,662,875,880,881,883,884,885,886,887,889,891,892,893,894,899,900,901,902,912,914,915,923,924,925,926,927,938,995,1030,1189,1191,1205,1208,1379,1452,1454,1457,1458,1467,1469,1471,1476,1477,1478,1479,1487,1490,1519,1688,1766,1768,1851,1865,1948,2101,2107,2112,2147,2451,2472,2517,2528,2546,2549,2551,2662,2708,2711,2712,485281,485290,485350,492961,492967,493033,493140,504327,504332,504749,50483",20050719,10.1007/978-1-4614-8005-1_1|10.1007/978-1-4939-0606-2_12|10.1007/978-1-4939-2288-8_13|10.1007/978-1-61779-594-7_9|10.1007/978-1-84882-011-1_2|10.1007/978-1-84882-721-9_2|10.1007/978-3-319-10611-3_8|10.1007/978-3-319-28383-8_12|10.1007/978-3-642-57741-3_3|10.1007/978-3-642-57880-9_2|10.1007/978-4-431-67017-9_118|10.1007/978-94-011-0371-8_125|10.1007/978-981-10-8291-7_17|10.1007/978-981-13-0393-7_37|10.1007/978-981-13-9566-6_4|10.1007/BF01242086|10.1007/BF01970670|10.1007/BF02386436|10.1007/BF02908196|10.1007
5282167,Quercetin 3-sophorotrioside,"Quercetin 3-sophorotrioside|Quercetin 3-O-beta-D-glucosyl-(1-&gt;2)-beta-D-glucosyl-(1-&gt;2)-beta-D-glucoside|38681-85-5|C12668|AC1NQZLB|quercetin triglucoside|Quercetin 3-O-sophorotrioside|CHEBI:32083|DTXSID90959518|Q27114778|quercetin 3-O-beta-D-glucosyl-(1-&gt;2)-glucosyl-(1-&gt;2)-beta-D-glucoside|Quercetin 3-beta-D-glucosyl-(1-&gt;2)-beta-D-glucosyl-(1-&gt;2)-beta-D-glucoside|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-1-benzopyran-3-yl hexopyranosyl-(1-&gt;2)hexopyranosyl-(1-&gt;2)hexopyranoside|3",788.700,C33H40O22,365.000,1340.000,NULL,55,14,22,10,IQBMWEYFKNVACH-MEBVLIOMSA-N,"3-[(2S,3R,4S,5S,6R)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",NULL,788,4,NULL,20050624,10.1016/0003-9861(82)90569-0|10.1021/jo035722y
5353915,Quercetin-3-L-rhamnoside,"Quercetin-3-O-rhamnoside|Usaf cf-2|Rhamnosyl-3-quercitin|Quercetin-3-rhamnoside|Quercitin-3-rhamnoside|Rhamnoside, quercetin-3|Quercetin-3-L-rhamnoside|Quercetin 3-O-rhamnoside|Quercetin 3-O-L-rhamnoside|CHEMBL82242|C.I. 75720|SCHEMBL147093|HMS3355G11|NSC-9221|3-[(6-deoxy-a-l-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4h-benzopyran-4-one|Quercetin 3-O-.alpha.-L-rhamnoside|BDBM50022445|TR-018550|DB-052096|3,4',5,7-Pentahydroxyflavone-3-L-rhamnoside|Quercetin, 3-(6-deoxy-.alpha.-L-mannopyranosi",448.400,C21H20O11,186.000,741.000,NULL,32,7,11,3,OXGUCUVFOIWWQJ-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxychromen-4-one",NULL,3858,6,"155,157,161,165,167,175,179,270,328,1053175,1159583,1259309,1259311",20050325,/s0716-97602011000300001|10.1002/ardp.19542870107|10.1002/bio.1045|10.1002/bit.20187|10.1002/bmc.1218|10.1002/bmc.942|10.1002/cbdv.200800248|10.1002/cbdv.200890226|10.1002/cbic.200600193|10.1002/eji.200425778|10.1002/elps.200390159|10.1002/elps.200600193|10.1002/elps.201100162|10.1002/jat.2777|10.1002/jat.863|10.1002/jcp.10186|10.1002/jssc.200400095|10.1002/jssc.200500064|10.1002/jssc.200700066|10.1002/jssc.200700372|10.1002/jssc.200900693|10.1002/jssc.201200034|10.1002/mnfr.201000019|10.1002/pca.2357|10.10
11968881,"Quercetin 7,4'-diglucoside","Quercetin 7,4'-diglucoside|Quercetin 4',7-diglucoside|quercetin 7,4'-O-diglucoside|quercetin 4',7-O-diglucoside|CHEMBL2206210|CHEBI:131499|quercetin 4',7-O-beta-D-diglucoside|quercetin 7,4'-di-O-beta-D-glucoside|4-[7-(beta-D-glucopyranosyloxy)-3,5-dihydroxy-4-oxo-4H-1-benzopyran-2-yl]-2-hydroxyphenyl beta-D-glucopyranoside|42900-82-3",626.500,C27H30O17,286.000,1040.000,NULL,44,11,17,7,QZXHFNCQMMUANB-UINLEYECSA-N,"3,5-dihydroxy-2-[3-hydroxy-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",NULL,1810,5,"717567,717568",20061224,10.1016/j.bmcl.2012.10.043
6325870,Quercetin 3-O-rhamnoside-7-O-glucoside,"quercetin 3-O-rhamnoside-7-O-glucoside|Quercetin 3-rhamnoside-7-glucoside|CHEBI:133244|MCULE-5397014735|Quercetin 3-O-rhamnoside 7-O-glucoside|Quercimeritrin 3-O-alpha-L-rhamnopyranoside|C19796|quercetin 3-O-alpha-rhamnoside-7-O-beta-glucoside|quercetin 3-O-alpha-L-rhamnoside-7-O-beta-D-glucoside|NCGC00385194-01!2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one|17306-45-5|3-[(6-deoxy-a",610.500,C27H30O16,266.000,1020.000,NULL,43,10,16,6,MCTZMXCUYPDYNE-AHHFARBASA-N,"2-(3,4-dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",NULL,784,3,NULL,20060118,NULL
