"Compound","PubChem ID","Affinity"
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",10232597,-8.6
"Camellianoside",11988368,-8.6
"Quercetin 3-rhamnosyl-(1->4)-rhamnosyl-(1->6)-glucoside",44259158,-8.6
"Quercetin 3-O-alpha-D-arabinopyranoside",44259270,-8.6
"CID 129826674",129826674,-8.6
"[2-Hydroxy-5-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenyl] 4-aminobenzoate",16102833,-8.4
"Quercetin 7-(6''-galloylglucoside)",44257998,-8.4
"Quercetin 5-glucuronide",44259271,-8.4
"Quercetin 3-rhamnosyl-(1->2)-glucosyl-(1->6)-galactoside",44259283,-8.4
"Quercetin 3-methyl ether 7-rhamnoside-3'-xyloside",44259666,-8.4
"[(2R,3S,4S,5R,6S)-3,4,5-Trihydroxy-6-[2-hydroxy-4-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenoxy]oxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",60150859,-8.4
"2,3-Dehydrosilybin",5467200,-8.3
"Quercetin 3-rhamnosyl-(1->6)-glucosyl-(1->6)-galactoside",44259284,-8.3
"CID 129826737",129826737,-8.3
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-(3,4,5-trihydroxyoxan-2-yl)oxychromen-4-one",5878729,-8.2
"Alcesefoliside",11828754,-8.2
"Quercetin 3-(3R-glucosylrutinoside)",44259156,-8.2
"Quercetin 3-(2''',3''',4'''-triacetyl-alpha-L-arabinopyranosyl)(1->6)-glucoside",44259196,-8.2
"Quercetin 3-alpha-L-arabionopyranoside-7-glucoside",44259239,-8.2
"3,5,7-Trihydroxy-2-[4-hydroxy-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",67128564,-8.2
"CID 91808056",91808056,-8.2
"CID 131841538",131841538,-8.2
"CID 135397936",135397936,-8.2
"Quercetin-3-L-rhamnoside",5353915,-8.1
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3S,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one",5481217,-8.1
"4H-1-Benzopyran-4-one, 2-(3-(beta-D-glucopyranosyloxy)-4-hydroxyphenyl)-3,5,7-trihydroxy-",5748594,-8.1
"2-(3,4-Dihydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-5,7-dihydroxychromen-4-one",11498684,-8.1
"Quercetin 3-O-alpha-L-rhamnopyranoside",40486293,-8.1
"Quercetin 7-(6''-acetylglucoside)",44257999,-8.1
"Quercetin 5-glucoside",44259222,-8.1
"Quercetin 7-rutinoside",44259247,-8.1
"Quercetin-7-O-[alpha-L-rhamnopyranosyl(1->6)-beta-D-galactopyranoside]",70698295,-8.1
"CID 102052885",102052885,-8.1
"CID 129734200",129734200,-8.1
"CID 131750813",131750813,-8.1
"Velloquercetin",442663,-8
"Helichrysoside",5317991,-8
"Quercetin 7-O-glucoside",5381351,-8
"[(2R,3S,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trimethylbenzoate",5481880,-8
"[(2R,3S,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",10031891,-8
"3,5,7-Trihydroxy-2-[3-hydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",12442954,-8
"Quercetin 3-O-rhamnoside",18604930,-8
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,5-dihydroxy-4-[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",23265223,-8
"2-Hydroxy-4-(3,5,7-trihydroxy-4-oxo-4H-1-benzopyran-2-yl)phenyl beta-D-glucopyranosiduronic acid",25165313,-8
"Quercetin 3-(6''-caffeylgalactoside)",44259123,-8
"Quercetin 7-glucuronide",44259227,-8
"Quercetin 3'-glucoside",44259229,-8
"Quercetin 3-rhamnoside-7-alpha-L-arabinopyranoside",44259242,-8
"Quercetin 3-rhamnoside-7-glucoside",44259243,-8
"Quercetin 3-(2''-p-hydroxybenzoyl-4''-p-coumarylrhamnoside)",44259260,-8
"Quercetin 3-(4''-acetylrhamnoside)-7-rhamnoside",44259266,-8
"Quercetin 3-(6''-feruloylgalactoside)",44259300,-8
"CID 101764560",101764560,-8
"CID 129639308",129639308,-8
"CID 129761273",129761273,-8
"CID 137175773",137175773,-8
"Spiraeoside",5320844,-7.9
"Hyperin 6''-gallate",5491814,-7.9
"Hyperin 6''-[glucosyl-(1->3)-rhamnoside]",5492482,-7.9
"3,5,7-Trihydroxy-2-[4-hydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",9934142,-7.9
"[(2R,3S,4S,5R,6S)-6-[(2S,3R,4R,5R,6S)-2-[2-(3,4-Dihydroxyphenyl)-5-hydroxy-4-oxo-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-3-yl]oxy-4,5-dihydroxy-6-methyloxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate",10191345,-7.9
"5,7-Dihydroxy-2-[3-hydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",22630387,-7.9
"Globulariacitrin",24832108,-7.9
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate",24895167,-7.9
"Quercetin 3-(2''',3''',5'''-triacetyl-alpha-L-arabinofuranosyl)(1->6)-glucoside",44259195,-7.9
"Quercetin 3-O-beta-(6''-O-E-p-coumaroylglucoside)-7-O-beta-glucoside",44259211,-7.9
"Quercetin 3'-xyloside",44259228,-7.9
